Number of ratings
6532535
3248738
1836308
2988154
1475247
1732046
1508603
2822789
2313464
1156769
731588
1095667
630118
571822
423968
667860
270136
197590
487219
226357
896426
450555
422796
356294
493169
251409
1150861
163857
422784
706620
120277
62675
936750
133320
73951
525287
193882
117567
158554
301937
612729
911485
207945
182348
343508
95911
398473
267200
240285
98331
40503
357992
131187
170699
82585
241064
114868
91443
91486
82546
179484
72068
110748
336480
57960
258199
67112
43890
60532
40017
214859
56422
31874
35801
154049
142815
105363
58739
85259
60444
32659
91655
196289
34005
47195
67222
40668
98942
25118
11096
47038
278966
10321
53128
12363
42449
222002
193864
887
27150
23664
49286
25811
55700
17858
53408
413
250326
11863
134104
98886
48759
49973
113292
89159
160819
890
7830
105250
43187
15196
594589
776702
38385
3978
130
13423
85
24764
23377
97680
356
263047
99616
2925
561126
32671
59951
32053
47652
806220
108603
15199
143201
3894
51482
14487
26196
23398
70657
14064
41718
43485
24351
50663
79350
7073
1068049
31896
15024
85695
11986
8676
317931
4195
67643
206654
21151
6733
7650
61697
25
15451
160345
439632
32288
64062
12768
193655
9662
11359
194
11088
167409
26323
56307
148778
6521
163237
25780
14786
98042
53351
5452
1901
7646
167545
17907
18373
8414
1450
8851
419285
155380
11144
44104
56
5972
109033
18976
9824
75888
27458
637
304
1655374
118165
9968
373
185999
41104
208507
158538
420174
12958
166133
97797
34925
40865
68
15184
88810
98
38217
36379
151361
11704
1317
18823
53335
35759
370
19954
770153
25799
6670
185
62453
37146
164
26493
28468
156741
6558
111920
281702
21687
11842
217
15889
78762
39
5585
49313
455
196552
17352
3293
520
137
9524
95556
2683
64934
793826
210
2671
15994
53466
28485
14482
39760
5803
9297
38
10053
91764
111
54
13855
74049
6977
6062
302617
21574
71609
39661
41508
16392
59549
16095
88
20
151931
59
21979
44807
5284
9695
8467
10066
7799
16066
143224
185
53
232
929
58
51333
115419
78
18672
856
33403
84018
4440
131434
1005484
284931
27216
65733
165870
5105
55
31892
20834
991015
7319
6089
16941
29660
2115
431826
51684
32272
63450
14521
3925
7771
21796
3593
9182
174454
16152
5286
8723
2427
2318
161364
5369
9528
10239
13197
78865
7371
13615
11727
44695
18206
9237
161
48
126
492
19
171882
6948
13656
6009
12906
15305
1285
22884
13313
113791
39928
265259
4883
4108
18147
13904
35755
29950
1472
56319
15308
3753
42900
56846
3506
25387
13210
16
1073
36
80
151100
54
4958
885
33403
54
2513
59938
8376
46676
235549
4651
13927
18072
44636
918
14569
61237
44034
8158
17276
26591
21722
11086
125851
27535
10602
5078
8845
13075
1848
1642
120497
856
10366
207531
85890
195
14
16648
91
5124
756
103
22274
38552
545
40275
7441
8969
10324
14
745
117630
2442
88
23043
29900
10897
1509
630479
21663
8480
99376
63963
615
28078
13676
107397
4026
367
16846
69673
1831
12040
18884
7943
7276
148519
194244
30573
4037
16
175
21
91
204
249
50
30636
288
21
313
75808
133
6675
27470
3169
25421
6224
34
123
234
1876
26
1107
16197
3225
108
19356
18039
34
4162
68526
27607
10797
15750
3231
26566
6969
11245
3651
873
663
75909
30242
25792
8747
41503
1121
65698
23175
5087195
646
35792
60494
395628
18896
8872
7261
4037
555
2072
3663757
848495
688113
395
52368
70029
16694
26613
109684
89237
11128
24134
1231
795
383681
22678
5400
69
630
166
62
48
80485
5105
312
47
51
871
13
375
915
32
38
15
378
205
11
1501
16
131935
168
980
9
4555
40
131
223
8486
3288
21855
89560
7040
15453
2458
7921
7679
8
106263
25288
324
73
11065
17690
21472
25390
227136
227099
7859
3850
14400
11446
3805
21591
177822
1094
5042
3097
2165
10941
8066
927
52462
102
3413
10798
1809
3198
15876
70518
296
19822
76797
1103
2435
76
2743
52684
131100
80641
2374
3410
2225
3848
7841
1732
5065
46890
2074
53731
19945
4043
30849
3282
253
2890
3641
2410
4683
5854
7035
26078
55335
2484
9354
31459
93210
440939
2300
2445
16889
4872
292145
7466
84803
2789
299
595317
3671
24533
2779
15265
227334
14864
5904
10072
30087
4887
29550
102004
10294
11307
1167
13559
2559
34
1059
22
93
127
17
66
40
12
683
100
52
528
88
39
42
271
7
7
13
63
1392
54
15
57
293
133
131
1028
501
193
7288
226
97
46
237
41
115
3481
43
98
5146
3523
15
20
5025
12348
52215
14854
106
101
238848
805
10847
1307
8499
457
3346
8
6560
347
8
1233
2085
1128
593
26
5148
95200
1100
69307
297
229
185
1944
1193
66817
1523
288
20
244
9139
50
7891
101
9158
2685
79516
640
548
3855
2204
1285
745
19989
33
46
6483
400859
102
8578
1111
4168
1119
1444
70455
12471
10801
96463
4256
32020
171784
17330
1621
3035
2994
214
12169
16855
18875
2192
49939
72965
18464
1808
15005
94390
10866
11460
25862
24005
124284
74427
28683
507332
1065
1696
992
808
1793
18401
10725
763
3748
11430
52224
43608
993
222751
53897
87564
3443
197
2874
63512
10644
12601
115
3141
17734
1610
2117
147
1370
98029
207143
994
109291
61077
3934
7278478
3846
32548
2019
15993
2046611
308252
2010
4582
2308
377748
333294
2907
10168
46617
216774
18198
1575
14337
9339
39902
343
14640
43996
3650
17719
13048
51853
1985058
58152
6118
18199
4955
72954
27
148
27
9280
6
41
16
3744
28
80
42
120
2957
1646
656
28
245
73
965
36
569
12
281
20
34
401
90
14
46
130
7
33
155
37
21
125
152
120
264
43
992
71
84
41
146
517
206451
302
49
7
309
46
248
785
7
266
22135
9
19
94
43
79
392
41
44
21
5
128
13
27
44
6
18
72
558
5366
179
56
1546
106
1426
47
87
344
1537
88
19
34800
1339
82
4
10
