Author
Chris G. Wright
G.D. Falksen
Nadine Brandes
Andrew P. Weston
Patrick Ness
Lois Lowry
Baileigh Higgins
Nnedi Okorafor
J.K. Accinni
Laura Thalassa
Lois Lowry
John Brunner
Seth Grahame-Smith
Ransom Riggs
Marissa Meyer
Isaac Asimov
Mary Doria Russell
Naomi Alderman
Edward Bellamy
Catherine Downen
Beth Revis
Mira Grant
Louis Sachar
Laura Thalassa
Charles de Lint
Sarah Crossan
Ira Levin
Joan Slonczewski
Stephen King
Philip Roth
Isaac Asimov
China Miéville
Clifford D. Simak
H.G. Wells
Laura Thalassa
Gene Wolfe
Tanith Lee
Laura Thalassa
Plato
Kurt Vonnegut Jr.
Nick Cole
Jeyn Roberts
Jim Crace
Robert Silverberg
Karen Marie Moning
Walter Tevis
Elana Johnson
Alex London
Kat Richardson
Alexandra Bracken
Nancy Kress
Gabrielle Zevin
Nick Harkaway
Mark  Lawrence
Ursula K. Le Guin
John Joseph Adams
Brent LeVasseur
TyCobbsTeeth
Vincent Hobbes
Elizabeth  Stephens
Christopher WunderLee
Marie Lu
Gemma Malley
Richard Brautigan
Pam Bachorz
Anne Bishop
Sinclair Lewis
K. Chess
William Gibson
Louise O'Neill
Marie Lu
Sergei Lukyanenko
Arthur C. Clarke
Ais
David Estes
Diana Peterfreund
Kat Falls
Susan Beth Pfeffer
Carrie Ryan
Kim Stanley Robinson
Mark  Lawrence
Kat Zhang
Robert Merle
Daniel Suarez
China Miéville
Michael Swanwick
Daniel Suarez
Jeff Hirsch
Bryan  Murphy
Kate Wrath
Cyma Rizwaan Khan
Claire Buss
Stephen King
Chris   Blake
Octavia E. Butler
Brandon Hale
Laura Thalassa
G.B. Hope
Sandra Newman
Holly Black
Karel Čapek
Justin Cronin
Scott Westerfeld
Allegra Goodman
Meg Elison
Jana Oliver
Suzanne Young
Victoria Foyt
Laura Thalassa
David  Wong
Lauren DeStefano
John Wyndham
Hugh Howey
Robert R. McCammon
Paolo Bacigalupi
Sheri S. Tepper
Pierce Brown
China Miéville
Masamune Shirow
Lise Haines
Garth Nix
Amy Kathleen Ryan
Samuel R. Delany
Doris Lessing
Julie Kagawa
Jennifer R. Pournelle
E.M. Forster
Marie Lu
Erika Johansen
M.P. Attardo
Eirik Moe Dahll-Larssøn
J.L. Bourne
Terra Whiteman
Cameron Stracher
Farah Cook
Walter Rhein
Ann Aguirre
Richard Matheson
Nadine Brandes
Frederik Pohl
S.M. Stirling
Kate Wilhelm
Lia Habel
Inge-Lise Goss
William Morris
Robert A. Heinlein
Gerd Brantenberg
Janet E. Morris
Robert A. Heinlein
Omar El Akkad
Keith Donohue
William Luther Pierce
Sarah J. Maas
William Gibson
Jacqueline Carey
Karen Marie Moning
Amie Kaufman
Terry Nation
Peter Watts
Maria V. Snyder
Haruki Murakami
Marcel Theroux
Ernest Callenbach
Robert A. Heinlein
Patrick Ness
Edgar Rice Burroughs
Anna Carey
Edan Lepucki
Philip K. Dick
Anna Sheehan
Maria V. Snyder
Jeff Lindsay
Octavia E. Butler
Charles de Lint
Philippe Blenkiron
R.C. Hancock
Eric Martindale
Sita Bennett
